song,text
"Linkin Park_Spin","miss disappear gone band chester note alone know care bennington piece association disillusioned way pick spin like far couple want confrontation chorus frustrated sick watch le handle still climb friend walk cause song sky submitted yeah greydaze run company aggravation look morei television oh indecision linkin complication high limitation life conversation get go confused man"
"Lady Gaga_The Queen","brave door dry lady flood insist forget tonight heaven come whoa dream cry start bitch queen remind win like speaks chance whenever na chorus never phoenix starry see noise hello watch inside made wind coming across say return sky run release stormy feeling drum woman gold need fly dance moment strong bore pain called oh rich challenger burnt happening night repeat killer life fame hurricane rain become earned voice gon show"
"Westlife_Mandy","gave shadow love yesterday world walked realized dream cry morning way standing away time never breeze mine happy cold see well tear looking mandy face window made today came uphill raining eye without climbing pas remember kissed ice another need people pain oh sent day taking rhyming memory calling night edge life stopped caught go shaking nothing man"
"Westlife_Don't Say It's Too Late","line true burn twist would could love alone risk flame care decision layin living cry turn runnin way blame someone time deceiving learn change accept hill climb bridge much part heart say deal late feeling build story put stranded feel prove first getting tell back wall leave take hoping life burnin around break pending lie hard"
"Taylor Swift_Wildest Dreams","last said room hindsight hand lip around heaven staring one know condition dream town clothes standing away drive dress babe na handsome rosy even let wildest sunset see well ah burning pretend sound red tall city bad kiss say crowd tangled someday remember familiar end bet request good thought follow hell oh getting begin memory leave take nice forever night hair voice get help nothing gon cheek"
"Taylor Swift_Back to December","saw family wishing love realized know passenger mine change loved think sweet sorry summer goodbye understand weather right december life go arm still last die passed side cry seen standing pride time work missing cold smile fear skin ever call tan probably day back around saying miss freedom ai staying maybe birthday swallowing september turn fall busier swear held guard wishful laughing left thinking make night dark burned nothing gave door chain glad talk see leaving crept made came dreaming front beautiful mindless small mind rose good first tell playing watched sleeping"
"Linkin Park_What We Don't Know","lost said head would could maybe stop know everything done start low fall apart betray stand never answer let u asked pretend second find fear made quickly fake heart cause run doubt mind sink ending clear feel end thought hear begin right meantime hidden go beginning still"
"Coldplay_Sleeping Sun","saw running hiding secret keep nineteen come ooh north piece real question dividing hurtin singing answer jump got climb sun tall ahh ohh run house round south mountain seven sleeping deserving take countin jigsaw blinded around one"
"Coldplay_Always In My Head","head forget rest though mouth never fate think choosing heart left always move stay body tell slept guess try go water still"
"Coldplay_I Ran Away","arose line full burn heard love know come one though star yet started single close away two ran mess na everyone fool see well stupid stomach sun cage closed eye sing say ever left sky call stuck stay three feel day back thing might nothing gon"
"Westlife_Drive","hope wrong belong love keep tonight whole know one faith ocean number long mile drive time na never want fool flight u let devotion home well got coming across harder heart play ever always doubt easy wan settle mind people matter give tell day take around break million gon fun wait show"
"Lady Gaga_Teeth","hand teeth shit man love fix perfect little open one done gon bitch religion meat fang guidance sex tied mouth want na tough let save vamp see change big whatcha something got sexy salvation bite bad direction truth scared need boy addiction ugly mean girl tell make take money help alright show"
"Michael Jackson_Billie Jean","lie photo scene said told room head breaking young forty love law showed mother side know one plan queen lover stood like advice baby son cried stand babe twice dreamed claim mine smell floor scheme every think sweet came much soon eye heart careful say truth always remember caused movie mind three happened name round dance people danced strong called till mean girl oh day perfume turned looked demand right billie night take beauty becomes kid around go jean"
"Linkin Park_In Pieces","lay hand love lip secret alone one faith piece like bone chorus wrap regret x got beg stone eye say truth sky doubt stay build chill hate toss telling leave take waste go arm lie promise"
"Rihanna_Real As You And Me","sleep saviour could hand fatal know ocean fall drift freak real darling ruin u quake forevermore think shore return hold earth crushed hate accident cover please leave take disease go"
"Linkin Park_Guilty All The Same","kind nonsense know flame tv verse arrange way dope remains want u change think guilty record yeah deal point company end ashamed free yo money deep fame still line thesame done filthy dream team finger saved real anything time chorus explain pop realty soon call greed else paper name take bank one greedy show game hand ai dirty destined split plan fall asset product built sick scheme got unprepared conscience rakim manipulated say anybody radio need clear feel artist thing gain blame shame like rock guilt talk authentic answer claim see regret expense clean route force near smoke strain wealthy scream going medium unclean gall oh rich tell cheap try kill already account man"
"Michael Jackson_Fall Again","share die said burn sleep would love alone spend seem everything unless done dream start single fall apart nobody away like baby anything time na never work u live find inside something looking every met face overcome eye heart killing fought starin cause left always run wan battle breathe fire need moment feel end first thought nothing till give mean day mountain bleed life try around carry past"
"Michael Jackson_Speed Demon","hot demon said burn nearer mirror future border hand could speed doin ai stop midway law one track ta way like time na chorus save live view compass got freeway say pull hour mind speedin lead boy look feel matter stoppin headed getting road day highway back right nothin preachin tomorrow really aaow life get go heat gon ticket"
"Justin Bieber_Mama's Boy","hope love enough blue way away never thinkin home watch walk sing hound run yeah right upper still would mama goin walkin building couple bell dirt today red soon wish mad wan school back around men pavement pretty turn mornin ride station swear ring sick got singin say old boy matter headed make thing get father gon past playin gone wanted book navy grey mother alone unless yet used town bag long mile drive na let bout ipod tune fed ear coming worried cause song concrete going class leave"
"Michael Jackson_Save Me","phone said wicked would young joke world star come ooh wonder waiting stood away like win far baby time na everybody hoo brake save see dave sincerely friend makin began begun eye reply livin lose run wan thought clearly girl rent mason telling turned right pay hide take go nothing one soul"
"Lady Gaga_Something Crazy","lay bring tonight crazy chair turn low clothes light baby time want mine change tame something think pull always lose yeah shade fire need boy afraid feel almost lately la oh brings control ready night lit try around go wait still"
"Celine Dion_I Got Nothin' Left","gave saying concerned love man trust maybe best damn giving done treated gon turn worthless warmth way like two whole na never chorus cold treatin learn earn got respect hollow must came without anybody shell cause ever always nerve deserve left lovin sense another nothing tell letting make word thing guess felt go tired one soul"
"Linkin Park_B12","hooray brain wrong acid klan berlin black start plan air fall causing way bomb anarchism destroy soloution big find stupid something think confusion deranged trip guam ku needy yeah fat stay klux satanism flintstone vitamin need pollution insane hoorah socialism rich sent purple wall make atom greedy chick man"
"Lady Gaga_Hair","hot die trying love around whoa know enough ooh living morning freak friday cool prayer swear shot parent whenever dad na want chorus stand chance cut short waltz change invite spirit think got identity sometimes red friend bang lot yeah scream stay bare wan highlight glory uh party put dance free ashamed street school oh huh high dressed rock night dynamite hair mom fight"
"Coldplay_Lips Like Sugar","share mirror sugar grace lip tonight know lake flown river twin melt like swan flow loser think shore float kiss across king call glide ask siam thinking siamese give winner laugh reflect caught break moonlight water"
"Celine Dion_At Seventeen","phone obscenity remained young love spent world serve debenture seems queen away never charade u home hometown unknown choosing dubious eye lose company dance free seventeen called solitaire girl life beauty marries sought valentine vague side whose dream meant quality integrity lacking desperately lover friday win far smile pity today play truth guarantee remember call name dare repenting school high please basketball one brown said game inventing could dull married pronounce youth received say cheat need pain payment night surprise gain get deserve murmur learned gave due knew grace come exceeds eyed town long like murmured younger ravaged ago gape ducking face came relationed beautiful small retired ugly rich elderly social account"
"Taylor Swift_A Place In This World","wrong sunshine trying sleeve could maybe world alone know though blue okay way want even chorus mystery see figure find got today mission coming heart place old yeah jean feeling ask radio need lucky fly feel strong walking road oh girl tell ready tomorrow life rain go wearing one still"
"Taylor Swift_Eyes Open","stepped heartbeat world keep thefallout come open youjust child dream cruel form turn steady nobody waiting ta backyard grows two far soldier sword everybody even stand happy never guard see surrounded save something every yesterday lesson got dreaming eye new foot watching yeah winning battle tricky breakdown ending stating pretending aim background wooden ahead thought score scar locked playing ready make sleeping showdown night thing dark around step"
"Justin Bieber_Looking For You","pocket phone historic young love problem world majesty tonight spend know lisa verse quavo way waiting migos mortgage mess want everybody never happy asked watch loved stick walk terrio summer across phantom pull waitress run lil look follow girl right money life intro mansion might go lettuce visa roll would picture guy hammer note toy everywhere paint michelangelo mama hook mink ta seen ben alcohol time riding chevy cut mona leather jb soon beach call move wan name panamera travel seat justin pay take around show dunk said cop ai bieber fall broccoli beverly swag baby yea anymore gorgeous plug looking got mae perry bad say chirpin vegetarian sure watching orbit paparazzo party need put afraid gordon sparkler tyler make ghost night beeper stalker step fight pot door takeoff offset country little hey hoppin bitch guala chain like na trap let nigga face fed came front anna always feeling gold forrest hummer bet mattress tell calling playing telescope club kill beat man"
"Linkin Park_A Place For My Head","act generous owe head known knew maybe rest alone best assuming asking sits start turn hunger meant used energy wear away rapidly light acting like want sick see shining watch find think sun someday say go sky moon favor place understand enemy run greed remember going another people take strong hate thought give back make tension night thing feed dark calm welcome around try step shut one quiet"
"Michael Jackson_That's What I Get","true told trusting could maybe everything come cry meant turn making away chorus never naive u hearing tear think made must slipping much kiss say taught goodbye sense boy mean took guess surprise get"
"Michael Jackson_Nite Line","line phone spark alone know come enough turn waking waiting like darling baby oo na sending every whisper hee ear aow call wan fire communication midnight oh give getting hear calling make night get nite"
"Eagles_You Are Not Alone","freedom alone know sorrow blue way standing isolated light like win chance never see find smile friend sometimes say lonely goodbye always feel pain thought helpless road tell tomorrow night"
"Eagles_Guilty Of The Crime","door line heard total would love worry crime rather way long like baby see every guilty got brand read jury yes stranger lonely song ever new judge lovin story need look knockin tell nothin take savin lookin might one"
"Westlife_I Do","share true would could hand love knew know come loving journey two long darling swear time whole chorus stand mine lifetime let entwined well got every shore heart say ever always foot ask reach put kneel feel oh give tell begin island please ready believe make word deny take forever step beat hard"
"Linkin Park_What I've Done","whatever hand uncertainty rest come done become blood start erase slate wash away na let regret cross today clean face mercy truth alibi put end pain thousand thought forgiving farewell may go lie drawn"
"Westlife_Heart Without A Home","gave sensation door reason hope disguise candy love seem bluebird know emptiness though open ta seen away like light baby time want chorus never na let happy see home watch anymore inside something smile got shore looking eye heart without lonely cause sky always new tide beautiful truth feeling movie wan thief put stranded feel fly raft probably girl make hide night rebel steal wearing one"
"Michael Jackson_One More Chance","love world stop side best come one care gon unfold someone chance time na whole lightning strike mystery cold see find storm sometimes searching walk bad near without hold yeah sea lovin going breathe uh need rescue sail lord huh oh tell help shelter happen right make seven take hurt aaow rain around go alright hard"
"Lady Gaga_Scream Loud","line blind family young scary love banging kill suppose tender succes monster care lower fall gangsta apart jail as like baby mess talk want let see serial honey jump got friend eye outside paw pas call scream barbies dangerous hanging lil honest party put people look bonding ugly payment cover naughty history playing back ready nothin take bandit loud killer card believed embrace get go lawyer liar wait show"
"Westlife_Clementine","crackle line daddy gone service would went cow doin harpoon broke know ya one though hey chunky north rouse darlin mornin way blowin saved clementine dumped carolina ho foamy shine like long miner held time disassembled mine lived thunder nervous well bubble every forgotten bridge trembled sun sound walk sailor whaler sweet brine bye record foot wake water chubby canyon dem old fare dawnin thee weighed thought yo cavern blow may oh begin oops excavatin nine trusty daughter fine show"
"Westlife_Angel","straight line lie reason last room would madness tired maybe keep tonight spend everywhere enough reverie endlessness peace turn okay pulled waiting distraction escaping vulture away knee easier building chance time let wreckage cold second find fear storm sweet glorious always angel lack beautiful release comfort sadness need fly seeps end feel empty silent thief good difference oh brings day twisting memory make weightless back believe hotel vein dark may break arm one hard"
"Westlife_To Be With You","hope line twist green game love little alone come care done start top blue seen baby next rained stand want talk together let fate inside smile much bad confidence heart hold wake build boy feel worth girl make broken life deep go one waited show"
"Michael Jackson_Little Susie","head young love know stair killed air nobody suddenly reached close fashioned agony cried doomed home much somebody eye fought crowd vain poor tenderly girl sake hoping lie soul bear beating flown torn neglection everyone mystery soon dead screaming voice slenderly one said blind god daytime noon care rejecting blood fall sullen prayer someone dress lift cared knife stare susie left need feel grandfather doom father fair door knew little mother alone sings died like next singing lived see leaving live tune face came strain scream damned oh despair hair kill hard man"
"Michael Jackson_I Have This Dream","sleep humanity level god could love perfect world c harmony come heaven giving dream wonder living verse opn eugene way seen close fantasy highest wing together chorus let u see live every face closed eye say imagine place ever vision angel copyright put people differently believe take really thing life turning repeat kitt one display showing"
"Lady Gaga_Take You Out","saw last kind week burn would could love ai knew stop london heaven know one coolest team way show town win baby shoot na everybody munich everyone talk pop defeated tear got match year football york heart new yeah run feeling cuz music distance paris called till believe take go gon still"
"Rihanna_Why Am I So In Love","gave wrong would love knew world know best like light glad chorus mine asked learn thinkin mistake summer sing heart chris song always lose perfection rihanna need strong thought mean day needed happen unlike chart repeat thing life trust dove brown"
"Michael Jackson_Another Part Of Me","planet line message true bring love takin come sho major finger nation u linin see nuff danger bringin sendin mission part waitin truth point dangerous another need feel brighter day final one"
"Coldplay_The Hardest Part","cloud wrong could broke know everything sweetest come wonder start apart waiting silver anything torn mouth bell ring strangest work think hardest part sing tried heart wish left bittersweet yeah undone feel taste oh letting taking lining thing really go"
"Eagles_Hotel California (Album Version)","saw mirror head running showed forget device verse air way stood away passage sweat never receive since feast sweet year summer mercedes relax dance called hell hear highway lit still last room bring tiffany stop california cool light far time bell chorus spirit master alibies benz nightman remember call wake desert please back voice said heard could ceiling stab captain twisted shimmering pretty prisoner steely smell beast middle find outro got friend knife wind candle lot heavy say sight ice plenty distance boy thinking ahead doorway pink night hotel lovely dark surprise thing rising gathered door corridor chamber check courtyard heaven champagne wine like programed warm face mission dim livin place mind thought calling leave grew nice welcome hair colitas kill"
"Celine Dion_I Surrender","reason would could love better knew know everything dream alive away pride baby chance time stand never longer let live see watch burning find fear every think much within survive swallow ever left surrender hold truth call fire reach another need look feel free break thousand give getting solid hear arm happen right make believe take night stronger life go forsake ground still"
"Lady Gaga_Christmas Tree","lady pam cowboy spreading cheer know best top clothes pa ho light ra time na everybody want let u cherry stocking yes year delicious underneath gaga boom place mistletoe wan put tree falalalalalalala space oh falalalala take christmas go"
"Justin Bieber_swag's mean","mean cause swag yeah want know got"
"Michael Jackson_Maybe Tomorrow - The Jackson 5","book maybe know star heaven four come gon cry many way flown away baby held time na see change honey tight read sing eye song sky earth season beautiful yeah mind else need look bird oh girl day back make tomorrow heavenly thank life get arm one"
"Rihanna_Needed Me","hit told roll could love shit fix little around know ya twisted though used low verse fuck pound bitch way beat yg ho light like real baby list never complaining chorus serious u rollin kickin le nigga inner bad trip savage horse imagine run ooo confess feeling another feel bet hate break good huh give faded tell needed issue oooh jaded white tryna carriage intro get mustard fun"
"Justin Bieber_Catching Feelings","phone mirror head would could trying young love ai closer touch hand alone crazy best come everything enough shall dream supposed done meant know moving morning finally cool baby chance time together never even na let u nervous see since contagious change find smile every think got friend sun made walk still without say possibility left wake yeah feeling mind wan going another feel give nowhere girl day high tell right word happening take really catching get already better"
"Michael Jackson_She's Out Of My Life","learned die possession cursed hand love know cry way pride like two granted stand cut live whether inside think cavalier knife year late kept damned expression need indecision laugh life took deep locked wait"
"Justin Bieber_Baby","daily skip love keep crazy whoa know apart nobody never mine u eye heart yeah look girl right believe item luda woke quit compared shake starbucks would fix broke done dream goin til pound piece starstruck buy cool anything whenever time play ever wake wan school around one breakin said thirteen could ai weekend care ooh sayin baby together ring got friend bad need losin really playin whatever gone come like shout na see amazin made came always playground another first thought street oh dazin beat"
"Linkin Park_Pts.Of.Athrty","act frame last shame share game wrong learned pace love notlast way awful away pride like someone race want never na live think face somebody say run wan fast put look name yo oh give cover pleasure taking back take broken thing life hurt get forfeit"
"Rihanna_The Last Song","gave last miss gone wasted could hand love spare forget maybe world perfect know staring one ooh started disappeared turn finally away holding baby time na never complaining singing let save even cliff hearing sad every friend made play song ever left beautiful midair moment end road heading hear playing gon"
"Eagles_No More Cloudy Days","lost foggy true would hand love maybe cloudy know staring cry turn fall blue away teardrop like shine someone baby chance sitting na never romance mine let see second leaf looking window sun searching coming heart lonely place always angel new stay falling vain wan stormy put afraid end untrue girl pouring day memory make believe go night rain break hurting gon"
"Michael Jackson_Leave Me Alone","gave talkin love ai stop alone excuse come know care used mama way making get walkin away baby time want choice got climb found must laughin sorry say laughing deceive lovin going need feel girl doggin dime back make mountain right take money leave anyway really hurt beggin around fight"
"Celine Dion_La Religieuse","revoit priere une et peur oui peu mur elle nuits meme levres notre sou entend croix ce assoiffees sait cet quand viennent religieuse soleil nouer homme beau s desir diable dit moi que voit pa baisser jalousie sanglots sa encore le ne prier frisson genoux plaisir la sur qui lui nostalgie il prend tellement longs donner cheveux en cornette fois comme dire anonyme fou voix mer se cote rougit de marie sorciers bateaux passion peine chambres quelques murmurent oublie si vie jesus vous yeux pere idees lumiere mal souvient"
"Coldplay_Another's Arms","world tv torture used close someone find got pull wish watching late reach beside another pain body mean arm right night rip around nothing"
"Taylor Swift_All Too Well","running rare future car forget walked keep know enough stair wide air asked home loved sweet much walk yeah crumpled story somehow house mail getting counter glass needed paralyzed shirt felt might break still bed photo promise picture cruel ball dancing piece team casually kitchen twin light ran real time even cold reminds something red self ever remember call scared falling else paper name plaid lying day back around innocence one lost week could maybe okay masterpiece scarf size smell well middle magic find got leaf looking wind tee left old refrigerator honest fly almost thinking telling night thing kid translation get nothing fine past door cheek gone trying sister little mother alone rid used eyed autumn upstate town like long singing disposition made drawer gaze place street first oh tore tell turning hair known album"
"Celine Dion_I've Got The World On A String","love silly world hey rainbow finger long sittin time let see string got yes sing song ever hold beautiful move look make thing life rain around go"
"Rihanna_Rehab","gave door reason lady went bring cigarette ai love problem around check best sudden know rehab damn checked shock gon crazy meant wrapped favorite way ta lover get miracle gim like baby next time na never even chorus let anything met something got using friend hollow wishful enter smoke heart cause swept drug left wean dead ribbon wan uh another feel strong empty thinking different first recognize follow oh needed back bleed leave take hurt go guess disease anytime felt blame spun one"
